accuracy,context,farm,geo_is_contact,geo_is_family,geo_is_friend,geo_is_public,id,isfamily,isfriend,ispublic,latitude,longitude,owner,place_id,secret,server,title,woeid,Photo_Category,URL,Downloaded,Usage
16,0,66,0,0,0,1,40848051693,0,0,1,-33.857063,151.210155,57491284@N02,uyU97kpTVLseY.4z4g,9e85b538b6,65535,Sydney Opera House,26198434,Opera_House,https://farm66.staticflickr.com/65535/40848051693_9e85b538b6.jpg,1,Train
16,0,66,0,0,0,1,46895389495,0,0,1,-33.877489,151.202819,53649649@N04,xln72MdWULghgrhJ,f286b6f8e1,65535,The Lion .,7225613,Opera_House,https://farm66.staticflickr.com/65535/46895389495_f286b6f8e1.jpg,1,Train
16,0,66,0,0,0,1,33934745198,0,0,1,-33.855478,151.216316,53649649@N04,Fp.4vtxWULjq5GqX,9fd13afecd,65535,The Opera House . Sydney,7225644,Opera_House,https://farm66.staticflickr.com/65535/33934745198_9fd13afecd.jpg,1,Test
16,0,66,0,0,0,1,47017542604,0,0,1,-33.857260,151.215040,99233151@N00,cRTwufFTWrzzUz3wMQ,5b0110a865,65535,Sydney Opera House,28676667,Opera_House,https://farm66.staticflickr.com/65535/47017542604_5b0110a865.jpg,1,Train
16,0,66,0,0,0,1,46886724085,0,0,1,-33.857310,151.214361,73241875@N02,cRTwufFTWrzzUz3wMQ,db61d6184c,65535,Reflections of 'Arcadia',28676667,Opera_House,https://farm66.staticflickr.com/65535/46886724085_db61d6184c.jpg,1,Train
16,0,66,0,0,0,1,47750828062,0,0,1,-33.855498,151.238736,53649649@N04,2AEwArxQU7pLPY08,cef7238d9d,65535,Opera House@Sydney,1105779,Opera_House,https://farm66.staticflickr.com/65535/47750828062_cef7238d9d.jpg,1,Test
16,0,66,0,0,0,1,47802838841,0,0,1,-33.853745,151.225033,53649649@N04,2AEwArxQU7pLPY08,695b981854,65535,Opera House@Sydney,1105779,Opera_House,https://farm66.staticflickr.com/65535/47802838841_695b981854.jpg,1,Test
16,0,66,0,0,0,1,33925912708,0,0,1,-33.854039,151.215661,53649649@N04,ITQvq1pQUrNQEM42,212ed47a5c,65535,Sydney,1096662,Opera_House,https://farm66.staticflickr.com/65535/33925912708_212ed47a5c.jpg,1,Train
16,0,66,0,0,0,1,47801494381,0,0,1,-33.861084,151.209638,87791108@N00,uyU97kpTVLseY.4z4g,e97c594d49,65535,20190401_3201 Queen Elizabeth at Circular Quay,26198434,Opera_House,https://farm66.staticflickr.com/65535/47801494381_e97c594d49.jpg,1,Train
16,0,66,0,0,0,1,32858141537,0,0,1,-33.857256,151.210838,87791108@N00,cRTwufFTWrzzUz3wMQ,3927f6de27,65535,20190401_3191 Sydney Opera House at sunrise,28676667,Opera_House,https://farm66.staticflickr.com/65535/32858141537_3927f6de27.jpg,1,Validation
