Class,Text,Text_Clean
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",Go jurong point crazy Available bugis n great world la e buffet Cine got amore wat
0,Ok lar... Joking wif u oni...,Ok lar Joking wif u oni
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry 2 wkly comp win FA Cup final tkts 21st May 2005 Text FA 87121 receive entry questionstd txt rateTCs apply 08452810075over18s
0,U dun say so early hor... U c already then say...,U dun say early hor U c already say
0,"Nah I don't think he goes to usf, he lives around here though",Nah dont think goes usf lives around though
1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",FreeMsg Hey darling 3 weeks word back Id like fun still Tb ok XxX std chgs send £150 rcv
0,Even my brother is not like to speak with me. They treat me like aids patent.,Even brother like speak treat like aids patent
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press 9 copy friends Callertune
1,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER valued network customer selected receivea £900 prize reward claim call 09061701461 Claim code KL341 Valid 12 hours
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobile 11 months U R entitled Update latest colour mobiles camera Free Call Mobile Update Co FREE 08002986030
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",Im gonna home soon dont want talk stuff anymore tonight k Ive cried enough today
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",SIX chances win CASH 100 20000 pounds txt CSH11 send 87575 Cost 150pday 6days 16 TsandCs apply Reply HL 4 info
1,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",URGENT 1 week FREE membership £100000 Prize Jackpot Txt word CLAIM 81010 TC wwwdbuknet LCCLTD POBOX 4403LDNW1A7RW18
0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,Ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
0,I HAVE A DATE ON SUNDAY WITH WILL!!,DATE SUNDAY
1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",XXXMobileMovieClub use credit click WAP link next txt message click httpwap xxxmobilemovieclubcomnQJKGIGHJJGCBL
0,Oh k...i'm watching here:),Oh kim watching
0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,Eh u remember 2 spell name Yes v naughty make v wet
0,Fine if thatÍs the way u feel. ThatÍs the way its gota b,Fine thatÍs way u feel ThatÍs way gota b
