ANTENNA,SERVICE,TIMESTAMP,LOAD
0,commuter,7/3/16 1:00,2238
1,residential,7/3/16 3:00,572
0,commuter,7/3/16 3:00,461
0,commuter,7/3/16 5:00,2071
0,commuter,7/3/16 6:03,68
0,commuter,7/3/16 7:00,2884
1,residential,7/3/16 7:00,417
0,commuter,7/3/16 9:00,8220
1,residential,7/3/16 11:00,1561
0,commuter,7/3/16 11:00,6235
0,commuter,7/3/16 13:00,12405
0,commuter,7/3/16 15:00,6129
1,residential,7/3/16 15:00,2295
0,commuter,7/3/16 17:00,14170
1,residential,7/3/16 19:00,1302
0,commuter,7/3/16 19:00,5326
0,commuter,7/4/16 1:00,2113
0,commuter,7/4/16 3:00,397
1,residential,7/4/16 3:00,119
0,commuter,7/4/16 5:00,1480
0,commuter,7/4/16 7:00,1885
1,residential,7/4/16 7:00,738
0,commuter,7/4/16 9:00,6346
1,residential,7/4/16 11:00,2053
0,commuter,7/4/16 11:00,5175
0,commuter,7/4/16 13:00,11308
0,commuter,7/4/16 15:00,5919
1,residential,7/4/16 15:00,2317
0,commuter,7/4/16 17:00,13716
1,residential,7/4/16 19:00,1237
0,commuter,7/4/16 19:00,6626
0,commuter,7/5/16 1:00,1251
0,commuter,7/5/16 3:00,692
1,residential,7/5/16 3:00,303
0,commuter,7/5/16 5:00,13678
0,commuter,7/5/16 7:00,19747
1,residential,7/5/16 7:00,3675
0,commuter,7/5/16 9:00,31822
0,commuter,7/5/16 11:00,7618
1,residential,7/5/16 11:00,1590
0,commuter,7/5/16 13:00,15738
1,residential,7/5/16 15:00,2262
0,commuter,7/5/16 15:00,8880
0,commuter,7/5/16 17:00,28418
1,residential,7/5/16 19:00,1325
0,commuter,7/5/16 19:00,6904
0,commuter,7/6/16 1:00,1204
0,commuter,7/6/16 3:00,668
1,residential,7/6/16 3:00,319
0,commuter,7/6/16 5:00,13213
0,commuter,7/6/16 7:00,17041
1,residential,7/6/16 7:00,3901
0,commuter,7/6/16 9:00,27745
1,residential,7/6/16 11:00,1742
0,commuter,7/6/16 11:00,7174
0,commuter,7/6/16 13:00,18961
0,commuter,7/6/16 15:00,9509
1,residential,7/6/16 15:00,2648
0,commuter,7/6/16 17:00,25416
1,residential,7/6/16 19:00,1576
0,commuter,7/6/16 19:00,6150
0,commuter,7/7/16 1:00,1444
1,residential,7/7/16 3:00,318
0,commuter,7/7/16 3:00,291
0,commuter,7/7/16 5:00,1490
0,commuter,7/7/16 7:00,1961
1,residential,7/7/16 7:00,4015
0,commuter,7/7/16 9:00,6339
1,residential,7/7/16 11:00,1750
0,commuter,7/7/16 11:00,4217
0,commuter,7/7/16 13:00,9359
1,residential,7/7/16 15:00,2653
0,commuter,7/7/16 15:00,4813
0,commuter,7/7/16 17:00,11300
0,commuter,7/7/16 19:00,5521
1,residential,7/7/16 19:00,1569
0,commuter,7/8/16 1:00,1382
1,residential,7/8/16 3:00,305
0,commuter,7/8/16 3:00,720
0,commuter,7/8/16 5:00,11918
1,residential,7/8/16 7:00,3849
0,commuter,7/8/16 7:00,15953
0,commuter,7/8/16 9:00,27099
1,residential,7/8/16 11:00,1784
0,commuter,7/8/16 11:00,8562
0,commuter,7/8/16 13:00,15484
1,residential,7/8/16 15:00,2597
0,commuter,7/8/16 15:00,8566
0,commuter,7/8/16 17:00,26273
0,commuter,7/8/16 19:00,6651
1,residential,7/8/16 19:00,1761
0,commuter,7/9/16 1:00,1300
1,residential,7/9/16 3:00,211
0,commuter,7/9/16 3:00,566
0,commuter,7/9/16 5:00,11424
1,residential,7/9/16 7:00,779
